"city","city_ascii","lat","lng","country"
"Rīga","Riga","56.9489","24.1064","Latvia"
"Daugavpils","Daugavpils","55.8750","26.5356","Latvia"
"Liepāja","Liepaja","56.5117","21.0139","Latvia"
"Jelgava","Jelgava","56.6483","23.7139","Latvia"
"Jūrmala","Jurmala","56.9681","23.7703","Latvia"
"Ventspils","Ventspils","57.3906","21.5733","Latvia"
"Rēzekne","Rezekne","56.5127","27.3427","Latvia"
"Ogre","Ogre","56.8186","24.6056","Latvia"
"Valmiera","Valmiera","57.5500","25.4000","Latvia"
"Jēkabpils","Jekabpils","56.4994","25.8783","Latvia"
"Salaspils","Salaspils","56.8667","24.3500","Latvia"
"Tukums","Tukums","56.9667","23.1500","Latvia"
"Mārupe","Marupe","56.9069","24.0583","Latvia"
"Cēsis","Cesis","57.3167","25.2667","Latvia"
"Sigulda","Sigulda","57.1500","24.8667","Latvia"
"Olaine","Olaine","56.7833","23.9333","Latvia"
"Kuldīga","Kuldiga","56.9667","21.9667","Latvia"
"Bauska","Bauska","56.4083","24.1931","Latvia"
"Saldus","Saldus","56.6667","22.5000","Latvia"
"Talsi","Talsi","57.2444","22.5867","Latvia"
"Dobele","Dobele","56.6167","23.2667","Latvia"
"Ludza","Ludza","56.5500","27.7167","Latvia"
"Ādaži","Adazi","57.0667","24.3333","Latvia"
"Krāslava","Kraslava","55.8833","27.1667","Latvia"
"Aizkraukle","Aizkraukle","56.6042","25.2539","Latvia"
"Līvāni","Livani","56.3667","26.1833","Latvia"
"Gulbene","Gulbene","57.1667","26.7500","Latvia"
"Limbaži","Limbazi","57.5167","24.7167","Latvia"
"Madona","Madona","56.8500","26.2167","Latvia"
"Alūksne","Aluksne","57.4167","27.0500","Latvia"
"Preiļi","Preili","56.3000","26.7167","Latvia"
"Balvi","Balvi","57.1333","27.2500","Latvia"
"Smiltene","Smiltene","57.4333","25.9000","Latvia"
"Ķekava","Kekava","56.8333","24.2333","Latvia"
"Valka","Valka","57.7667","26.0000","Latvia"
"Saulkrasti","Saulkrasti","57.2500","24.4167","Latvia"
"Ulbroka","Ulbroka","56.9333","24.2833","Latvia"
"Varakļāni","Varaklani","56.6000","26.7500","Latvia"
"Ropaži","Ropazi","56.9718","24.6318","Latvia"
